financials.Country,financials.Month Name,Sum(financials. Sales),Sum(financials.COGS)
United States of America,April,1616624.475,1411231.5
United States of America,August,2007266.1199999999,1763703
United States of America,December,2394507.6799999997,2189794
United States of America,February,1332890.66,1165414
United States of America,January,1346026.485,1228465.5
United States of America,July,2308798.125,2000353.5
United States of America,June,1323610.8,1095922
United States of America,March,1789974.47,1593940
United States of America,May,1949249.3499999999,1714543
United States of America,November,3093502.6500000004,2786255
United States of America,October,3457102.9999999995,3042850
United States of America,September,2410276.35,2041818
Canada,April,1593562.95,1353856.5
Canada,August,952043.0399999999,787112
Canada,December,5546988.63,4560265
Canada,February,1482165.98,1231691
Canada,January,1186256.49,1047493.5
Canada,July,2109549.285,1856538
Canada,June,2725979.4,2393058
Canada,March,811132.5,727234
Canada,May,783941.6699999999,703442
Canada,November,2372659.3600000003,2097109
Canada,October,3445532.7600000007,2942234
Canada,September,1877842.8199999998,1658393
France,April,1332862.6950000003,1196365.5
France,August,779802.09,688145
France,December,3325070.5199999996,2786418
France,February,1537438.46,1214280
France,January,1544720.745,1297212
France,July,1148065.08,1016334
France,June,1629183.98,1295646
France,March,1559748.75,1428256
France,May,1042776.97,886258
France,November,2109571.89,1844421
France,October,5770138.52,4856786
France,September,2574792.58,2063030
Germany,April,1394813.46,1217414
Germany,August,1046755.1699999999,949662
Germany,December,3141199.29,2594033
Germany,February,1347335.8699999999,1155588
Germany,January,874935.11,815027
Germany,July,1609549.75,1485031
Germany,June,1630025.24,1322150
Germany,March,479509.59,394658
Germany,May,1317483,1114765
Germany,November,2336054.4000000004,2084526
Germany,October,5977029.880000001,4760098
Germany,September,2350650.06,1932000
Mexico,April,1026911.49,855923
Mexico,August,1078756,884934
Mexico,December,2959462.8600000003,2519389
Mexico,February,1597700.42,1382011
Mexico,January,1655822.85,1405535
Mexico,July,926957.94,820798
Mexico,June,2210094.4,1938364
Mexico,March,946494.56,772905
Mexico,May,1116760.07,962563
Mexico,November,2739629.1999999997,2469004
Mexico,October,3021626.86,2629682
Mexico,September,1669135.46,1400721